symbol,date,open,high,low,close,adjusted_close,volume
NVDA,2024-07-02,121.13,123.41,121.03,122.67,122.6109,218374000
SPY,2024-07-02,543.7,549.01,543.65,549.01,537.6872,40434800
AAPL,2024-07-03,220.0,221.55,219.03,221.55,219.8497,37369800
MSFT,2024-07-03,458.19,461.02,457.88,460.77,454.6232,9932830
NVDA,2024-07-03,121.66,128.28,121.36,128.28,128.2182,215748984
SPY,2024-07-03,548.69,551.83,548.65,551.46,540.0867,32789900
AAPL,2024-07-05,221.65,226.45,221.65,226.34,224.6029,60412400
MSFT,2024-07-05,459.61,468.35,458.965,467.56,461.3226,16000290
NVDA,2024-07-05,127.38,128.85,125.68,125.83,125.7694,214176703
SPY,2024-07-05,551.77,555.05,551.12,554.64,543.2011,41488400
AAPL,2024-07-08,227.09,227.85,223.25,227.82,226.0716,59085900
MSFT,2024-07-08,466.55,467.7,464.46,466.24,460.0203,12962320
NVDA,2024-07-08,127.49,130.77,127.04,128.2,128.1382,237677297
SPY,2024-07-08,555.44,556.25,554.19,555.28,543.8279,36110500
AAPL,2024-07-09,227.93,229.4,226.37,228.68,226.925,48076100
MSFT,2024-07-09,467.0,467.33,458.0,459.54,453.4096,17228510
NVDA,2024-07-09,130.35,133.82,128.65,131.38,131.3167,287020812
SPY,2024-07-09,556.26,557.18,555.52,555.82,544.3568,27289700
AAPL,2024-07-10,229.3,233.08,229.25,232.98,231.192,62627700
MSFT,2024-07-10,461.22,466.46,458.855,466.25,460.0301,18196100
NVDA,2024-07-10,134.03,135.1,132.42,134.91,134.845,248978594
SPY,2024-07-10,557.07,561.67,556.77,561.32,549.7433,38701200
AAPL,2024-07-11,231.39,232.39,225.77,227.57,225.8235,64710600
MSFT,2024-07-11,462.98,464.78,451.55,454.7,448.6342,23111180
NVDA,2024-07-11,135.75,136.15,127.05,127.4,127.3386,374782688
SPY,2024-07-11,561.44,562.33,555.83,556.48,545.0032,53054200
AAPL,2024-07-12,228.92,232.64,228.68,230.54,228.7707,53046500
MSFT,2024-07-12,454.325,456.36,450.645,453.55,447.4995,16324270
NVDA,2024-07-12,128.26,131.92,127.22,129.24,129.1777,252680500
SPY,2024-07-12,557.63,563.67,557.15,559.99,548.4408,53084400
AAPL,2024-07-15,236.48,237.23,233.09,234.4,232.6011,62631300
MSFT,2024-07-15,453.3,457.26,451.43,453.96,447.9041,14429450
NVDA,2024-07-15,130.56,131.39,127.18,128.44,128.3781,208326203
SPY,2024-07-15,562.03,564.84,559.63,561.53,549.949,40584300
AAPL,2024-07-16,235.0,236.27,232.33,234.82,233.0178,43234300
MSFT,2024-07-16,454.22,454.3,446.66,449.52,443.5233,17175680
NVDA,2024-07-16,128.44,129.04,124.58,126.36,126.2991,214769500
SPY,2024-07-16,562.87,565.16,562.1,564.86,553.2103,36475300
AAPL,2024-07-17,229.45,231.46,226.64,228.88,227.1234,57345900
MSFT,2024-07-17,442.59,444.85,439.18,443.52,437.6033,21754020
NVDA,2024-07-17,121.35,121.85,116.72,117.99,117.9331,390086219
SPY,2024-07-17,558.8,560.51,556.61,556.94,545.4537,57119000
AAPL,2024-07-18,230.28,230.44,222.27,224.18,222.4595,66034600
MSFT,2024-07-18,444.34,444.65,434.4,440.37,434.4954,20794820
NVDA,2024-07-18,121.85,122.4,116.56,121.09,121.0316,320979500
SPY,2024-07-18,558.51,559.52,550.43,552.66,541.2619,56270400
AAPL,2024-07-19,224.82,226.8,223.28,224.31,222.5885,49151500
MSFT,2024-07-19,433.1,441.14,432.0,437.11,431.2789,20940420
NVDA,2024-07-19,120.35,121.6,117.37,117.93,117.8732,217223812
SPY,2024-07-19,552.42,554.08,547.91,548.99,537.6676,65509100
AAPL,2024-07-22,227.01,227.78,223.09,223.96,222.2412,48201800
MSFT,2024-07-22,441.79,444.6,438.9125,442.94,437.0311,15808760
NVDA,2024-07-22,120.35,124.07,119.86,123.54,123.4805,258068891
SPY,2024-07-22,553.0,555.27,551.02,554.65,543.2109,43346700
AAPL,2024-07-23,224.37,226.94,222.68,225.01,223.2831,39960300
MSFT,2024-07-23,443.895,448.39,443.1,444.85,438.9156,13107050
NVDA,2024-07-23,122.78,124.69,122.1,122.59,122.5309,173911016
SPY,2024-07-23,554.54,556.74,553.28,553.78,542.3588,34439600
AAPL,2024-07-24,224.0,224.8,217.13,218.54,216.8628,61777600
MSFT,2024-07-24,440.45,441.48,427.585,428.9,423.1784,26805801
NVDA,2024-07-24,119.17,119.95,113.44,114.25,114.1949,327776906
SPY,2024-07-24,548.86,549.17,540.29,541.23,530.0677,74515300
AAPL,2024-07-25,218.93,220.85,214.62,217.49,215.8208,51391200
MSFT,2024-07-25,428.8,429.8,417.51,418.4,412.8184,29943801
NVDA,2024-07-25,113.04,116.63,106.3,112.28,112.2259,460067000
SPY,2024-07-25,541.35,547.46,537.45,538.41,527.3058,61158300
AAPL,2024-07-26,218.7,219.49,216.01,217.96,216.2872,41601300
MSFT,2024-07-26,418.2,428.915,417.27,425.27,419.5968,23583840
NVDA,2024-07-26,116.19,116.2,111.58,113.06,113.0055,293399094
SPY,2024-07-26,542.28,547.19,541.49,544.44,533.2115,53763800
AAPL,2024-07-29,216.96,219.3,215.75,218.24,216.5651,36311800
MSFT,2024-07-29,431.58,432.15,424.7042,426.73,421.0373,15125840
NVDA,2024-07-29,113.69,116.28,111.3,111.59,111.5362,248152094
SPY,2024-07-29,546.02,547.05,542.72,544.76,533.5249,39515800
AAPL,2024-07-30,219.19,220.33,216.12,218.8,217.1208,41643800
MSFT,2024-07-30,427.72,429.05,417.36,422.92,417.2782,32687580
NVDA,2024-07-30,111.52,111.99,102.54,103.73,103.68,486833312
SPY,2024-07-30,546.26,547.34,538.52,542.0,530.8218,46853600
AAPL,2024-07-31,221.44,223.82,220.63,222.08,220.3756,50036300
MSFT,2024-07-31,420.495,421.775,412.21,418.35,412.7691,42891367
NVDA,2024-07-31,112.9,118.34,110.88,117.02,116.9636,473174219
SPY,2024-07-31,548.98,553.5,547.58,550.81,539.4501,65663400
AAPL,2024-08-01,224.37,224.48,217.02,218.36,216.6842,62501000
MSFT,2024-08-01,420.785,427.46,413.0901,417.11,411.5457,30296400
NVDA,2024-08-01,117.53,120.16,106.8104,109.21,109.1574,523462312
