,Instrument,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,BIDSIZE,BID,ASK,ASKSIZE,TRDPRC_1,HST_CLOSE,HSTCLSDATE,ACVOL_UNS,OPINT_1,OPINTNC,MID_IV,DELTA,GAMMA,THETA,VEGA,RHO
2203,SPXp172662500.U,2026-04-17,PUT ,6250,155,44.5,45.1,207,,47.15,2026-01-26,,8582,-87,21.8261,-0.1217,0.0003,-0.8028,6.6004,-1.9677
2204,SPXd172662600.U,2026-04-17,CALL,6260,3,794.4,798.2,3,,779.1,2026-01-26,,0,0,23.0828,0.863,0.0003,-1.5543,7.1639,11.4902
2205,SPXp172662600.U,2026-04-17,PUT ,6260,158,45.2,45.9,242,,48.05,2026-01-26,,304,-5,21.7227,-0.1239,0.0003,-0.808,6.682,-2.0025
2206,SPXd172662700.U,2026-04-17,CALL,6270,3,785.2,789.0,3,,769.95,2026-01-26,,0,0,22.9576,0.8609,0.0003,-1.5587,7.2377,11.4787
2207,SPXp172662700.U,2026-04-17,PUT ,6270,199,45.9,46.6,216,,48.8,2026-01-26,,647,-3,21.6098,-0.126,0.0003,-0.8124,6.761,-2.0362
2208,SPXd172662750.U,2026-04-17,CALL,6275,3,780.5,784.4,3,,765.4,2026-01-26,,206,0,22.8875,0.8599,0.0003,-1.5603,7.2724,11.4739
2209,SPXp172662750.U,2026-04-17,PUT ,6275,163,46.3,47.0,231,,49.1,2026-01-26,,1547,-1,21.5599,-0.1271,0.0003,-0.8151,6.8033,-2.0545
2210,SPXd172662800.U,2026-04-17,CALL,6280,3,776.1,779.8,3,,760.85,2026-01-26,,1,0,22.8376,0.8588,0.0003,-1.5635,7.314,11.4657
2211,SPXp172662800.U,2026-04-17,PUT ,6280,152,46.7,47.4,238,,49.6,2026-01-26,,1548,8,21.5095,-0.1282,0.0003,-0.8177,6.8455,-2.0728
2212,SPXd172662900.U,2026-04-17,CALL,6290,3,766.9,770.6,3,,751.8,2026-01-26,,0,0,22.7089,0.8566,0.0003,-1.5676,7.3882,11.4534
2213,SPXp172662900.U,2026-04-17,PUT ,6290,197,47.4,48.2,246,,50.45,2026-01-26,,816,-4,21.3998,-0.1305,0.0003,-0.8223,6.9273,-2.1085
2214,SPXd172663000.U,2026-04-17,CALL,6300,3,758.2,761.1,3,764.06,742.7,2026-01-26,4,1107,1,22.592,0.8544,0.0003,-1.5726,7.4669,11.4386
2215,SPXp172663000.U,2026-04-17,PUT ,6300,117,48.3,48.9,202,,51.45,2026-01-26,,11509,377,21.2951,-0.1328,0.0003,-0.8272,7.0118,-2.1458
2216,SPXd172663100.U,2026-04-17,CALL,6310,3,748.7,752.4,3,,733.6,2026-01-26,,1,0,22.4732,0.8521,0.0003,-1.5774,7.5457,11.4235
2217,SPXp172663100.U,2026-04-17,PUT ,6310,163,49.0,49.7,200,,52.1,2026-01-26,,201,-1,21.1811,-0.135,0.0003,-0.8314,7.0937,-2.1822
2218,SPXd172663200.U,2026-04-17,CALL,6320,3,739.6,743.3,3,,724.6,2026-01-26,,3,0,22.3524,0.8498,0.0003,-1.5819,7.6246,11.4079
2219,SPXp172663200.U,2026-04-17,PUT ,6320,179,49.8,50.5,146,,52.86,2026-01-26,,445,96,21.079,-0.1375,0.0003,-0.8365,7.1808,-2.2214
2220,SPXd172663250.U,2026-04-17,CALL,6325,3,735.1,738.7,3,,720.05,2026-01-26,,122,0,22.2913,0.8486,0.0003,-1.5841,7.6641,11.4
2221,SPXp172663250.U,2026-04-17,PUT ,6325,131,50.3,51.0,231,,53.4,2026-01-26,,5792,-19,21.0306,-0.1387,0.0003,-0.8392,7.2257,-2.2417
2222,SPXd172663300.U,2026-04-17,CALL,6330,3,730.5,734.2,3,,715.55,2026-01-26,,1,1,22.2297,0.8474,0.0003,-1.5863,7.7035,11.392
2223,SPXp172663300.U,2026-04-17,PUT ,6330,125,50.7,51.4,216,,53.85,2026-01-26,,242,-1,20.9747,-0.1399,0.0003,-0.8413,7.2679,-2.261
2224,SPXd172663400.U,2026-04-17,CALL,6340,3,721.5,725.1,3,,706.55,2026-01-26,,2,0,22.1115,0.845,0.0003,-1.591,7.7846,11.3747
2225,SPXp172663400.U,2026-04-17,PUT ,6340,149,51.5,52.2,195,,54.7,2026-01-26,,483,0,20.8612,-0.1423,0.0003,-0.8454,7.3525,-2.2997
2226,SPXd172663500.U,2026-04-17,CALL,6350,3,712.9,715.7,3,,697.6,2026-01-26,,303,-6,21.9977,0.8425,0.0003,-1.5959,7.8678,11.3558
2227,SPXp172663500.U,2026-04-17,PUT ,6350,133,52.4,53.1,209,52.25,55.65,2026-01-26,8,4921,-25,20.7792,-0.1451,0.0003,-0.852,7.4493,-2.3448
2228,SPXd172663600.U,2026-04-17,CALL,6360,3,703.4,707.0,3,,688.55,2026-01-26,,4,0,21.8691,0.84,0.0003,-1.5996,7.947,11.3387
2229,SPXp172663600.U,2026-04-17,PUT ,6360,89,53.3,54.0,212,,56.6,2026-01-26,,243,0,20.6545,-0.1475,0.0003,-0.855,7.5314,-2.3831
2230,SPXd172663700.U,2026-04-17,CALL,6370,3,694.4,698.0,3,,679.6,2026-01-26,,2,0,21.7512,0.8375,0.0003,-1.6041,8.0302,11.3191
2231,SPXp172663700.U,2026-04-17,PUT ,6370,67,54.2,54.9,208,,57.55,2026-01-26,,191,0,20.5476,-0.1501,0.0003,-0.8595,7.6207,-2.4254
2232,SPXd172663750.U,2026-04-17,CALL,6375,3,689.9,693.5,3,,675.15,2026-01-26,,221,0,21.6914,0.8362,0.0003,-1.6063,8.0718,11.3091
2233,SPXp172663750.U,2026-04-17,PUT ,6375,137,54.6,55.3,180,,58.05,2026-01-26,,2006,10,20.4867,-0.1514,0.0004,-0.861,7.6631,-2.4455
2234,SPXd172663800.U,2026-04-17,CALL,6380,3,685.4,689.0,3,,670.65,2026-01-26,,4,0,21.6311,0.8348,0.0004,-1.6084,8.1134,11.299
2235,SPXp172663800.U,2026-04-17,PUT ,6380,93,55.1,55.8,196,54.75,58.5,2026-01-26,8,81,0,20.4383,-0.1528,0.0004,-0.8637,7.71,-2.4681
2236,SPXd172663900.U,2026-04-17,CALL,6390,3,676.5,680.0,3,,661.75,2026-01-26,,5,0,21.5151,0.8322,0.0004,-1.6129,8.1986,11.2774
2237,SPXp172663900.U,2026-04-17,PUT ,6390,116,56.0,56.7,177,,59.5,2026-01-26,,470,0,20.3267,-0.1555,0.0004,-0.8676,7.7993,-2.5113
2238,SPXd172663950.U,2026-04-17,CALL,6395,3,672.0,675.5,3,,657.3,2026-01-26,,0,0,21.4532,0.8308,0.0004,-1.6148,8.2402,11.267
2239,SPXp172663950.U,2026-04-17,PUT ,6395,91,56.5,57.2,183,,60.0,2026-01-26,,6,0,20.2765,-0.1569,0.0004,-0.87,7.8462,-2.5342
2240,SPXd172664000.U,2026-04-17,CALL,6400,7,667.9,670.7,3,,652.85,2026-01-26,,2255,0,21.3969,0.8294,0.0004,-1.6172,8.2837,11.2554
2241,SPXp172664000.U,2026-04-17,PUT ,6400,87,57.0,57.7,196,,60.5,2026-01-26,,11251,1701,20.2255,-0.1583,0.0004,-0.8723,7.893,-2.5572
2242,SPXd172664050.U,2026-04-17,CALL,6405,3,663.0,666.5,3,,648.4,2026-01-26,,0,0,21.3279,0.8282,0.0004,-1.6185,8.3234,11.2458
2243,SPXp172664050.U,2026-04-17,PUT ,6405,130,57.4,58.2,191,,61.0,2026-01-26,,4,0,20.1677,-0.1597,0.0004,-0.8741,7.9376,-2.5792
2244,SPXd172664100.U,2026-04-17,CALL,6410,3,658.6,662.1,3,,643.95,2026-01-26,,12,0,21.2765,0.8267,0.0004,-1.6212,8.3687,11.2329
2245,SPXp172664100.U,2026-04-17,PUT ,6410,113,57.9,58.6,162,,61.55,2026-01-26,,358,0,20.1093,-0.1611,0.0004,-0.8757,7.9821,-2.6013
2246,SPXd172664150.U,2026-04-17,CALL,6415,3,654.1,657.6,3,,639.5,2026-01-26,,0,0,21.2125,0.8253,0.0004,-1.6228,8.4103,11.222
2247,SPXp172664150.U,2026-04-17,PUT ,6415,113,58.4,59.1,164,,62.05,2026-01-26,,0,0,20.0565,-0.1625,0.0004,-0.8779,8.0289,-2.6246
2248,SPXd172664200.U,2026-04-17,CALL,6420,3,649.7,653.1,3,,635.1,2026-01-26,,11,0,21.1539,0.8239,0.0004,-1.6249,8.4538,11.21
2249,SPXp172664200.U,2026-04-17,PUT ,6420,113,58.9,59.6,174,,62.55,2026-01-26,,496,0,20.0031,-0.164,0.0004,-0.8799,8.0756,-2.6481
2250,SPXd172664250.U,2026-04-17,CALL,6425,7,645.2,648.7,3,,630.65,2026-01-26,,929,0,21.0948,0.8225,0.0004,-1.627,8.4972,11.1978
2251,SPXp172664250.U,2026-04-17,PUT ,6425,113,59.4,60.1,160,,63.05,2026-01-26,,3952,-22,19.9491,-0.1654,0.0004,-0.8819,8.1223,-2.6717
2252,SPXd172664300.U,2026-04-17,CALL,6430,3,640.8,644.2,3,,626.25,2026-01-26,,1,-1,21.0351,0.821,0.0004,-1.6289,8.5406,11.1855
2253,SPXp172664300.U,2026-04-17,PUT ,6430,112,59.9,60.6,138,,63.65,2026-01-26,,188,0,19.9006,-0.167,0.0004,-0.8843,8.171,-2.6966
2254,SPXd172664350.U,2026-04-17,CALL,6435,3,636.3,639.8,3,,621.85,2026-01-26,,0,0,20.9748,0.8196,0.0004,-1.6308,8.584,11.1731
2255,SPXp172664350.U,2026-04-17,PUT ,6435,112,60.4,61.2,189,,64.15,2026-01-26,,0,0,19.8453,-0.1684,0.0004,-0.8862,8.2176,-2.7204
2256,SPXd172664400.U,2026-04-17,CALL,6440,3,631.9,635.3,3,,617.4,2026-01-26,,2,0,20.914,0.8181,0.0004,-1.6326,8.6273,11.1606
2257,SPXp172664400.U,2026-04-17,PUT ,6440,128,60.9,61.7,184,,64.75,2026-01-26,,1351,0,19.7894,-0.1699,0.0004,-0.8879,8.2642,-2.7444
2258,SPXd172664450.U,2026-04-17,CALL,6445,3,627.5,630.9,3,,613.05,2026-01-26,,0,0,20.8583,0.8166,0.0004,-1.6348,8.6724,11.1469
2259,SPXp172664450.U,2026-04-17,PUT ,6445,130,61.4,62.2,167,,65.2,2026-01-26,,7,0,19.7329,-0.1714,0.0004,-0.8896,8.3107,-2.7685
2260,SPXd172664500.U,2026-04-17,CALL,6450,3,623.5,626.1,3,,608.65,2026-01-26,,258,0,20.8021,0.8151,0.0004,-1.637,8.7174,11.1331
2261,SPXp172664500.U,2026-04-17,PUT ,6450,91,62.0,62.7,169,,65.63,2026-01-26,,1823,0,19.6817,-0.173,0.0004,-0.8917,8.3592,-2.7938
2262,SPXd172664550.U,2026-04-17,CALL,6455,3,618.6,622.0,3,,604.25,2026-01-26,,0,0,20.7338,0.8136,0.0004,-1.6381,8.759,11.1212
2263,SPXp172664550.U,2026-04-17,PUT ,6455,105,62.5,63.3,180,,66.45,2026-01-26,,0,0,19.6299,-0.1746,0.0004,-0.8938,8.4077,-2.8193
2264,SPXd172664600.U,2026-04-17,CALL,6460,3,614.2,617.6,3,,599.85,2026-01-26,,4,0,20.6764,0.8121,0.0004,-1.6401,8.804,11.1071
2265,SPXp172664600.U,2026-04-17,PUT ,6460,120,63.0,63.8,163,,66.9,2026-01-26,,371,0,19.5714,-0.1761,0.0004,-0.8952,8.4541,-2.8437
2266,SPXd172664650.U,2026-04-17,CALL,6465,3,609.8,613.2,3,,595.4,2026-01-26,,0,0,20.6184,0.8105,0.0004,-1.642,8.8489,11.0929
2267,SPXp172664650.U,2026-04-17,PUT ,6465,84,63.6,64.3,91,,67.55,2026-01-26,,15,0,19.5242,-0.1778,0.0004,-0.8976,8.5044,-2.8706
2268,SPXd172664700.U,2026-04-17,CALL,6470,3,605.4,608.8,3,,591.15,2026-01-26,,36,0,20.5598,0.809,0.0004,-1.6438,8.8938,11.0786
2269,SPXp172664700.U,2026-04-17,PUT ,6470,109,64.1,64.9,166,,68.15,2026-01-26,,443,-1,19.4645,-0.1793,0.0004,-0.8989,8.5508,-2.8953
2270,SPXd172664750.U,2026-04-17,CALL,6475,3,601.0,604.4,3,,586.75,2026-01-26,,189,0,20.5005,0.8074,0.0004,-1.6456,8.9386,11.0641
2271,SPXp172664750.U,2026-04-17,PUT ,6475,90,64.7,65.5,179,,68.7,2026-01-26,,2293,8,19.4158,-0.181,0.0004,-0.9011,8.6009,-2.9224
2272,SPXd172664800.U,2026-04-17,CALL,6480,3,596.6,600.0,3,,582.35,2026-01-26,,8,0,20.4407,0.8058,0.0004,-1.6473,8.9834,11.0495
2273,SPXp172664800.U,2026-04-17,PUT ,6480,107,65.2,66.0,161,,69.35,2026-01-26,,448,-87,19.3549,-0.1825,0.0004,-0.9023,8.6472,-2.9474
2274,SPXd172664850.U,2026-04-17,CALL,6485,3,592.2,595.6,3,,578.05,2026-01-26,,0,0,20.3803,0.8042,0.0004,-1.6489,9.0281,11.0348
2275,SPXp172664850.U,2026-04-17,PUT ,6485,92,65.8,66.6,174,,69.95,2026-01-26,,5,0,19.3048,-0.1842,0.0004,-0.9043,8.6972,-2.9748
2276,SPXd172664900.U,2026-04-17,CALL,6490,3,587.8,591.2,3,,573.65,2026-01-26,,1,0,20.3192,0.8026,0.0004,-1.6504,9.0728,11.0199
2277,SPXp172664900.U,2026-04-17,PUT ,6490,78,66.4,67.2,179,,70.55,2026-01-26,,943,-116,19.2541,-0.1859,0.0004,-0.9063,8.7471,-3.0023
2278,SPXd172664950.U,2026-04-17,CALL,6495,3,583.5,586.8,3,,569.35,2026-01-26,,0,0,20.2631,0.8009,0.0004,-1.6523,9.119,11.0039
2279,SPXp172664950.U,2026-04-17,PUT ,6495,66,67.0,67.7,111,,71.15,2026-01-26,,0,0,19.1969,-0.1876,0.0004,-0.9077,8.795,-3.0289
2280,SPXd172665000.U,2026-04-17,CALL,6500,7,579.5,582.1,3,,565.0,2026-01-26,,1444,0,20.2063,0.7993,0.0004,-1.6542,9.1652,10.9877
2281,SPXp172665000.U,2026-04-17,PUT ,6500,78,67.6,68.3,155,,71.75,2026-01-26,,13334,-30,19.1448,-0.1893,0.0004,-0.9094,8.8448,-3.0566
2282,SPXd172665050.U,2026-04-17,CALL,6505,3,574.7,578.0,3,,560.65,2026-01-26,,0,0,20.1379,0.7977,0.0004,-1.655,9.2082,10.9734
2283,SPXp172665050.U,2026-04-17,PUT ,6505,101,68.1,68.9,158,,72.35,2026-01-26,,1,0,19.0863,-0.191,0.0004,-0.9107,8.8926,-3.0835
2284,SPXd172665100.U,2026-04-17,CALL,6510,3,570.4,573.7,3,,556.35,2026-01-26,,4,0,20.0853,0.7959,0.0004,-1.6571,9.2557,10.956
2285,SPXp172665100.U,2026-04-17,PUT ,6510,103,68.7,69.5,156,,72.95,2026-01-26,,765,-2,19.0327,-0.1927,0.0004,-0.9123,8.9422,-3.1116
2286,SPXd172665150.U,2026-04-17,CALL,6515,3,566.0,569.3,3,,552.0,2026-01-26,,0,0,20.0212,0.7943,0.0004,-1.6582,9.3002,10.9403
2287,SPXp172665150.U,2026-04-17,PUT ,6515,83,69.3,70.1,152,,73.6,2026-01-26,,116,2,18.9785,-0.1945,0.0004,-0.9138,8.9917,-3.1398
2288,SPXd172665200.U,2026-04-17,CALL,6520,3,561.7,565.0,3,,547.7,2026-01-26,,1,0,19.9672,0.7925,0.0004,-1.6602,9.3476,10.9226
2289,SPXp172665200.U,2026-04-17,PUT ,6520,103,69.9,70.7,128,,74.25,2026-01-26,,444,0,18.9236,-0.1962,0.0004,-0.9152,9.0411,-3.1682
2290,SPXd172665250.U,2026-04-17,CALL,6525,3,557.4,560.6,3,,543.4,2026-01-26,,183,0,19.9072,0.7908,0.0004,-1.6616,9.3934,10.9057
2291,SPXp172665250.U,2026-04-17,PUT ,6525,98,70.5,71.3,141,,74.9,2026-01-26,,349,6,18.8679,-0.198,0.0005,-0.9166,9.0904,-3.1967
2292,SPXd172665300.U,2026-04-17,CALL,6530,3,553.0,556.3,3,,539.1,2026-01-26,,7,0,19.8465,0.7891,0.0004,-1.6629,9.4391,10.8887
2293,SPXp172665300.U,2026-04-17,PUT ,6530,43,71.2,72.0,168,,75.55,2026-01-26,,307,-22,18.8225,-0.1999,0.0005,-0.9187,9.143,-3.2275
2294,SPXd172665350.U,2026-04-17,CALL,6535,3,548.7,551.9,3,,534.8,2026-01-26,,0,0,19.7852,0.7873,0.0004,-1.6641,9.4848,10.8715
2295,SPXp172665350.U,2026-04-17,PUT ,6535,68,71.8,72.6,151,,76.2,2026-01-26,,11,0,18.7654,-0.2017,0.0005,-0.9199,9.1921,-3.2563
2296,SPXd172665400.U,2026-04-17,CALL,6540,3,544.4,547.6,3,,530.45,2026-01-26,,205,0,19.7285,0.7855,0.0005,-1.6657,9.5317,10.8532
2297,SPXp172665400.U,2026-04-17,PUT ,6540,68,72.4,73.2,112,,76.9,2026-01-26,,380,-1,18.7076,-0.2035,0.0005,-0.9209,9.2411,-3.2853
2298,SPXd172665450.U,2026-04-17,CALL,6545,3,540.1,543.3,3,,526.25,2026-01-26,,0,0,19.6712,0.7837,0.0005,-1.6671,9.5786,10.8347
2299,SPXp172665450.U,2026-04-17,PUT ,6545,97,73.0,73.9,166,,77.55,2026-01-26,,0,0,18.6546,-0.2054,0.0005,-0.9223,9.2917,-3.3155
2300,SPXd172665500.U,2026-04-17,CALL,6550,3,536.2,538.6,3,,522.0,2026-01-26,,575,0,19.6131,0.7818,0.0005,-1.6685,9.6254,10.816
2301,SPXp172665500.U,2026-04-17,PUT ,6550,72,73.7,74.5,150,,78.25,2026-01-26,,4876,-57,18.6007,-0.2073,0.0005,-0.9237,9.3421,-3.3459
2302,SPXd172665550.U,2026-04-17,CALL,6555,3,531.5,534.6,3,,517.7,2026-01-26,,0,0,19.5492,0.78,0.0005,-1.6694,9.6708,10.7982
2303,SPXp172665550.U,2026-04-17,PUT ,6555,91,74.3,75.2,157,,78.95,2026-01-26,,0,0,18.5462,-0.2092,0.0005,-0.9249,9.3924,-3.3764
2304,SPXd172665600.U,2026-04-17,CALL,6560,3,527.2,530.3,3,,513.45,2026-01-26,,5,0,19.4898,0.7782,0.0005,-1.6706,9.7174,10.7792
2305,SPXp172665600.U,2026-04-17,PUT ,6560,65,75.0,75.8,122,,79.6,2026-01-26,,207,0,18.4909,-0.2111,0.0005,-0.926,9.4426,-3.4072
2306,SPXd172665650.U,2026-04-17,CALL,6565,3,522.9,526.0,3,,509.2,2026-01-26,,0,0,19.4297,0.7763,0.0005,-1.6717,9.7639,10.76
2307,SPXp172665650.U,2026-04-17,PUT ,6565,40,75.7,76.5,136,,80.3,2026-01-26,,116,0,18.4401,-0.2131,0.0005,-0.9275,9.4942,-3.4391
2308,SPXd172665700.U,2026-04-17,CALL,6570,3,518.6,521.8,3,,504.9,2026-01-26,,2,0,19.374,0.7744,0.0005,-1.6731,9.8116,10.7398
2309,SPXp172665700.U,2026-04-17,PUT ,6570,77,76.3,77.2,144,,81.05,2026-01-26,,685,30,18.3833,-0.215,0.0005,-0.9284,9.5442,-3.4701
2310,SPXd172665750.U,2026-04-17,CALL,6575,3,514.3,517.5,3,,500.75,2026-01-26,,158,0,19.3126,0.7725,0.0005,-1.674,9.8578,10.7203
2311,SPXp172665750.U,2026-04-17,PUT ,6575,83,77.0,77.8,57,,81.7,2026-01-26,,1333,-16,18.331,-0.217,0.0005,-0.9296,9.5955,-3.5023
2312,SPXd172665800.U,2026-04-17,CALL,6580,3,510.1,513.2,3,,496.5,2026-01-26,,48,0,19.2554,0.7706,0.0005,-1.6752,9.9053,10.6997
2313,SPXp172665800.U,2026-04-17,PUT ,6580,63,77.7,78.5,104,,82.5,2026-01-26,,611,0,18.2727,-0.2189,0.0005,-0.9304,9.6452,-3.5338
2314,SPXd172665850.U,2026-04-17,CALL,6585,3,505.8,508.9,3,,492.25,2026-01-26,,0,0,19.1926,0.7686,0.0005,-1.676,9.9513,10.6799
2315,SPXp172665850.U,2026-04-17,PUT ,6585,63,78.4,79.2,105,,83.2,2026-01-26,,143,0,18.2189,-0.221,0.0005,-0.9314,9.6962,-3.5664
2316,SPXd172665900.U,2026-04-17,CALL,6590,3,501.6,504.7,3,,488.05,2026-01-26,,17,0,19.1391,0.7666,0.0005,-1.6774,9.9997,10.658
2317,SPXp172665900.U,2026-04-17,PUT ,6590,62,79.1,79.9,99,78.85,83.8,2026-01-26,4,312,6,18.2,-0.2234,0.0005,-0.9353,9.757,-3.606
2318,SPXd172665950.U,2026-04-17,CALL,6595,3,497.3,500.4,3,,483.85,2026-01-26,,0,0,19.0748,0.7647,0.0005,-1.6779,10.0456,10.6378
2319,SPXp172665950.U,2026-04-17,PUT ,6595,62,79.8,80.6,77,,84.7,2026-01-26,,124,0,18.1139,-0.2251,0.0005,-0.9336,9.7992,-3.6331
2320,SPXd172666000.U,2026-04-17,CALL,6600,7,493.5,495.9,3,,479.7,2026-01-26,,1100,-1,19.0247,0.7626,0.0005,-1.6795,10.0948,10.6147
2321,SPXp172666000.U,2026-04-17,PUT ,6600,46,80.6,81.3,76,,85.45,2026-01-26,,11172,528,18.0577,-0.2272,0.0005,-0.9343,9.8497,-3.6662
2322,SPXd172666050.U,2026-04-17,CALL,6605,3,488.9,491.9,3,,475.45,2026-01-26,,5,0,18.9591,0.7606,0.0005,-1.6798,10.1404,10.5941
2323,SPXp172666050.U,2026-04-17,PUT ,6605,65,81.2,82.1,117,,86.2,2026-01-26,,307,0,18.0007,-0.2292,0.0005,-0.9349,9.9001,-3.6996
2324,SPXd172666100.U,2026-04-17,CALL,6610,3,484.6,487.7,3,,471.25,2026-01-26,,5,0,18.8976,0.7586,0.0005,-1.6804,10.187,10.5724
2325,SPXp172666100.U,2026-04-17,PUT ,6610,95,81.9,82.8,102,,86.95,2026-01-26,,587,0,17.943,-0.2313,0.0005,-0.9354,9.9504,-3.7331
2326,SPXd172666150.U,2026-04-17,CALL,6615,3,480.4,483.5,3,,467.1,2026-01-26,,1,0,18.8404,0.7565,0.0005,-1.6813,10.2347,10.5497
2327,SPXp172666150.U,2026-04-17,PUT ,6615,59,82.7,83.6,123,,87.8,2026-01-26,,160,0,17.8945,-0.2335,0.0005,-0.9366,10.0031,-3.7688
2328,SPXd172666200.U,2026-04-17,CALL,6620,3,476.2,479.2,3,,462.95,2026-01-26,,6,0,18.7775,0.7545,0.0005,-1.6817,10.281,10.5276
2329,SPXp172666200.U,2026-04-17,PUT ,6620,78,83.4,84.3,107,82.95,88.55,2026-01-26,4,1006,0,17.8698,-0.236,0.0005,-0.9398,10.062,-3.8094
2330,SPXd172666250.U,2026-04-17,CALL,6625,3,472.0,475.0,3,,458.8,2026-01-26,,88,0,18.7187,0.7523,0.0005,-1.6824,10.3283,10.5044
2331,SPXp172666250.U,2026-04-17,PUT ,6625,44,84.2,85.1,143,,89.56,2026-01-26,,1678,-8,17.785,-0.2379,0.0005,-0.9379,10.1052,-3.8388
2332,SPXd172666300.U,2026-04-17,CALL,6630,3,467.8,470.8,3,,454.6,2026-01-26,,5,0,18.6592,0.7502,0.0005,-1.683,10.3754,10.4811
2333,SPXp172666300.U,2026-04-17,PUT ,6630,70,84.9,85.8,66,,90.15,2026-01-26,,168,0,17.7241,-0.24,0.0005,-0.9379,10.1548,-3.8731
2334,SPXd172666350.U,2026-04-17,CALL,6635,3,463.7,466.6,3,,450.5,2026-01-26,,0,0,18.6037,0.748,0.0005,-1.6838,10.4234,10.4567
2335,SPXp172666350.U,2026-04-17,PUT ,6635,62,85.7,86.6,103,,90.95,2026-01-26,,406,-1,17.6722,-0.2423,0.0005,-0.9387,10.2067,-3.9096
2336,SPXd172666400.U,2026-04-17,CALL,6640,3,459.5,462.5,3,,446.4,2026-01-26,,6,0,18.5474,0.7458,0.0005,-1.6845,10.4712,10.4321
2337,SPXp172666400.U,2026-04-17,PUT ,6640,57,86.5,87.4,99,,91.8,2026-01-26,,385,88,17.6195,-0.2445,0.0005,-0.9393,10.2583,-3.9462
2338,SPXd172666450.U,2026-04-17,CALL,6645,3,455.3,458.3,3,,442.25,2026-01-26,,6,0,18.4855,0.7437,0.0005,-1.6847,10.5177,10.4081
2339,SPXp172666450.U,2026-04-17,PUT ,6645,57,87.3,88.2,110,,92.6,2026-01-26,,408,31,17.5659,-0.2468,0.0006,-0.9398,10.3096,-3.9831
2340,SPXd172666500.U,2026-04-17,CALL,6650,3,451.5,453.8,3,,438.1,2026-01-26,,516,0,18.4276,0.7414,0.0005,-1.6852,10.5651,10.3831
2341,SPXp172666500.U,2026-04-17,PUT ,6650,63,88.1,88.9,71,,93.2,2026-01-26,,3846,-35,17.5066,-0.2491,0.0006,-0.9398,10.3596,-4.0192
2342,SPXd172666550.U,2026-04-17,CALL,6655,3,447.0,450.0,3,,434.0,2026-01-26,,0,0,18.3689,0.7392,0.0005,-1.6856,10.6123,10.3578
2343,SPXp172666550.U,2026-04-17,PUT ,6655,42,88.9,89.8,107,,94.3,2026-01-26,,1242,-8,17.4562,-0.2514,0.0006,-0.9404,10.4117,-4.0574
2344,SPXd172666600.U,2026-04-17,CALL,6660,3,442.9,445.8,3,,429.9,2026-01-26,,3,0,18.3095,0.7369,0.0005,-1.6858,10.6592,10.3324
2345,SPXp172666600.U,2026-04-17,PUT ,6660,37,89.7,90.6,101,,95.2,2026-01-26,,310,-97,17.4,-0.2538,0.0006,-0.9405,10.4624,-4.0949
2346,SPXd172666650.U,2026-04-17,CALL,6665,3,438.7,441.7,3,,425.8,2026-01-26,,8,0,18.2492,0.7347,0.0005,-1.686,10.7059,10.3067
2347,SPXp172666650.U,2026-04-17,PUT ,6665,56,90.5,91.4,73,,96.0,2026-01-26,,243,-23,17.343,-0.2561,0.0006,-0.9405,10.5128,-4.1327
2348,SPXd172666700.U,2026-04-17,CALL,6670,3,434.6,437.5,3,,421.7,2026-01-26,,16,0,18.1881,0.7324,0.0006,-1.686,10.7525,10.2808
2349,SPXp172666700.U,2026-04-17,PUT ,6670,67,91.3,92.3,109,,96.9,2026-01-26,,76,0,17.2899,-0.2585,0.0006,-0.9407,10.5641,-4.1715
2350,SPXd172666750.U,2026-04-17,CALL,6675,3,430.5,433.4,3,,417.7,2026-01-26,,566,-4,18.1308,0.73,0.0006,-1.6862,10.7997,10.2539
2351,SPXp172666750.U,2026-04-17,PUT ,6675,43,92.2,93.1,104,,97.8,2026-01-26,,1463,-5,17.2359,-0.2609,0.0006,-0.9409,10.6151,-4.2106
2352,SPXd172666800.U,2026-04-17,CALL,6680,3,426.4,429.3,3,,413.6,2026-01-26,,47,0,18.0728,0.7277,0.0006,-1.6863,10.8466,10.2267
2353,SPXp172666800.U,2026-04-17,PUT ,6680,60,93.0,93.9,52,,98.65,2026-01-26,,282,0,17.1811,-0.2634,0.0006,-0.9408,10.6658,-4.2499
2354,SPXd172666850.U,2026-04-17,CALL,6685,3,422.3,425.2,3,,409.5,2026-01-26,,8,0,18.0138,0.7253,0.0006,-1.6863,10.8933,10.1993
2355,SPXp172666850.U,2026-04-17,PUT ,6685,139,93.7,94.8,100,,99.55,2026-01-26,,10,0,17.116,-0.2657,0.0006,-0.9399,10.7142,-4.2877
2356,SPXd172666900.U,2026-04-17,CALL,6690,3,418.2,421.1,3,,405.5,2026-01-26,,22,0,17.9541,0.7229,0.0006,-1.6862,10.9398,10.1717
2357,SPXp172666900.U,2026-04-17,PUT ,6690,67,94.7,95.7,104,,100.5,2026-01-26,,157,0,17.0686,-0.2683,0.0006,-0.9404,10.7664,-4.3293
2358,SPXd172666950.U,2026-04-17,CALL,6695,3,414.1,417.0,3,,401.5,2026-01-26,,2,0,17.8935,0.7205,0.0006,-1.6859,10.986,10.1438
