,Instrument,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,BIDSIZE,BID,ASK,ASKSIZE,TRDPRC_1,HST_CLOSE,HSTCLSDATE,ACVOL_UNS,OPINT_1,OPINTNC,MID_IV,DELTA,GAMMA,THETA,VEGA,RHO
52,SPXb202637500.U,2026-02-20,CALL,3750,1,3222.0,3229.1,1,,3207.25,2026-01-26,,0,0,122.7884,0.9822,0.0,-2.3382,0.7907,2.4295
53,SPXn202637500.U,2026-02-20,PUT ,3750,1165,0.05,0.25,1095,,0.15,2026-01-26,,2381,1,73.4391,-0.0004,0.0,-0.0399,0.0269,-0.002
54,SPXb202638000.U,2026-02-20,CALL,3800,1,3172.3,3179.3,1,,3157.5,2026-01-26,,0,0,120.5441,0.9818,0.0,-2.3441,0.8059,2.4612
55,SPXn202638000.U,2026-02-20,PUT ,3800,1438,0.05,0.25,498,,0.18,2026-01-26,,7233,0,71.9499,-0.0004,0.0,-0.0398,0.0274,-0.0021
56,SPXb202638500.U,2026-02-20,CALL,3850,1,3122.3,3129.4,1,,3107.65,2026-01-26,,300,0,118.2036,0.9815,0.0,-2.3402,0.8182,2.4934
57,SPXn202638500.U,2026-02-20,PUT ,3850,644,0.1,0.25,343,,0.15,2026-01-26,,22000,10,71.3197,-0.0005,0.0,-0.0454,0.0316,-0.0024
58,SPXb202639000.U,2026-02-20,CALL,3900,1,3072.5,3079.6,1,,3057.75,2026-01-26,,9,0,116.0123,0.9811,0.0,-2.3458,0.834,2.525
59,SPXn202639000.U,2026-02-20,PUT ,3900,1140,0.1,0.25,309,,0.2,2026-01-26,,11061,0,69.8517,-0.0005,0.0,-0.0453,0.0322,-0.0025
60,SPXb202639500.U,2026-02-20,CALL,3950,1,3022.7,3029.8,1,,3008.0,2026-01-26,,0,0,113.6682,0.9808,0.0,-2.337,0.8453,2.5573
61,SPXn202639500.U,2026-02-20,PUT ,3950,1367,0.1,0.3,490,,0.2,2026-01-26,,1835,1,69.1234,-0.0006,0.0,-0.0508,0.0365,-0.0028
62,SPXb202640000.U,2026-02-20,CALL,4000,1,2972.8,2979.9,1,,2958.15,2026-01-26,,18,0,111.5858,0.9803,0.0,-2.3468,0.8633,2.5886
63,SPXn202640000.U,2026-02-20,PUT ,4000,617,0.15,0.3,433,,0.27,2026-01-26,,10763,-107,68.3181,-0.0006,0.0,-0.0562,0.0408,-0.0032
64,SPXb202640500.U,2026-02-20,CALL,4050,1,2923.0,2930.1,1,,2908.2,2026-01-26,,0,0,109.467,0.9798,0.0,-2.3518,0.8801,2.6201
65,SPXn202640500.U,2026-02-20,PUT ,4050,1232,0.15,0.35,1202,,0.25,2026-01-26,,1811,-1,67.4527,-0.0007,0.0,-0.0614,0.0452,-0.0036
66,SPXb202641000.U,2026-02-20,CALL,4100,1,2873.2,2880.3,1,,2858.5,2026-01-26,,0,0,107.2025,0.9795,0.0,-2.3426,0.8923,2.6522
